year,customer_name_norm,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,year_net_delta,running_balance
2012,ACMO,30851.75,0.0,0.0,30851.75,17249.96,13601.79,13601.79
2013,ACMO,29600.42,0.0,0.0,29600.42,43202.21,-13601.79,0.0
2014,ACMO,15510.42,0.0,0.0,15510.42,15510.42,0.0,0.0
2015,ACMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,ACMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,ADAMS COMMUNICATIONS INC,17361.12,0.0,3542.56,13818.56,13818.56,0.0,0.0
2013,ADAMS COMMUNICATIONS INC,8154.77,0.0,0.0,8154.77,8034.02,120.75,120.75
2014,ADAMS COMMUNICATIONS INC,11843.58,0.0,362.25,11481.33,10867.08,614.25,735.0
2015,ADAMS COMMUNICATIONS INC,7116.06,0.0,0.0,7116.06,7851.06,-735.0,0.0
2016,ADAMS COMMUNICATIONS INC,7391.9,0.0,0.0,7391.9,7391.9,0.0,0.0
2017,ADAMS COMMUNICATIONS INC,5481.47,0.0,0.0,5481.47,5481.47,0.0,0.0
2018,ADAMS COMMUNICATIONS INC,6648.39,0.0,0.0,6648.39,6648.39,0.0,0.0
2019,ADAMS COMMUNICATIONS INC,5733.0,0.0,0.0,5733.0,5733.0,0.0,0.0
2020,ADAMS COMMUNICATIONS INC,6677.48,0.0,0.0,6677.48,6071.1,606.38,606.38
2021,ADAMS COMMUNICATIONS INC,12530.77,0.0,0.0,12530.77,12461.89,68.88,675.26
2022,ADAMS COMMUNICATIONS INC,9665.85,0.0,0.0,9665.85,8288.78,1377.07,2052.33
2023,ADAMS COMMUNICATIONS INC,7573.08,0.0,0.0,7573.08,9514.53,-1941.45,110.88
2024,ADAMS COMMUNICATIONS INC,15623.68,0.0,0.0,15623.68,15467.16,156.52,267.4
2025,ADAMS COMMUNICATIONS INC,15047.93,0.0,0.0,15047.93,15204.45,-156.52,110.88
2026,ADAMS COMMUNICATIONS INC,7413.43,0.0,313.05,7100.38,7100.28,0.1,110.98
2013,ALAN DARTY,150.0,0.0,0.0,150.0,150.0,0.0,0.0
2014,ALAN DARTY,322.2,0.0,0.0,322.2,322.2,0.0,0.0
2015,ALAN DARTY,108.0,0.0,0.0,108.0,108.0,0.0,0.0
2018,ALBERTA HEALTH SERVICES,6359.15,0.0,1074.15,5285.0,0.0,5285.0,5285.0
2019,ALBERTA HEALTH SERVICES,12095.0,0.0,0.0,12095.0,17380.0,-5285.0,0.0
2020,ALBERTA HEALTH SERVICES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,ALEXANDRA NEIGHBOURHOOD HOUSE,367.51,0.0,367.51,0.0,91.88,-91.88,-91.88
2015,ALI ATIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ALLEN H. GURALIUK,117.6,0.0,0.0,117.6,319.2,-201.6,-201.6
2012,ALLEN H. GURALIUK,201.6,0.0,0.0,201.6,0.0,201.6,0.0
2013,ALLEN H. GURALIUK,189.0,0.0,0.0,189.0,390.6,-201.6,-201.6
2014,ALLEN H. GURALIUK,189.0,0.0,0.0,189.0,189.0,0.0,-201.6
2011,ALLEN H. GURALIUKΜ,201.6,0.0,0.0,201.6,0.0,201.6,201.6
2012,ALP COMMUNICATIONS,42.3,0.0,0.0,42.3,42.3,0.0,0.0
2013,ALP COMMUNICATIONS,203.4,0.0,0.0,203.4,203.4,0.0,0.0
2014,ALP COMMUNICATIONS,203.4,0.0,0.0,203.4,203.4,0.0,0.0
2015,ALP COMMUNICATIONS,203.4,0.0,0.0,203.4,203.4,0.0,0.0
2016,ALP COMMUNICATIONS,203.4,0.0,0.0,203.4,203.4,0.0,0.0
2017,ALP COMMUNICATIONS,259.9,0.0,0.0,259.9,259.9,0.0,0.0
